PMC ID,adjuvant,immune_response_mechanism
PMC11242184,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC11315725,MPL,Engages TLR4 pathway to promote Th1 responses.
PMC11315725,QS-21,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC11315725,VSA-1,"Potentiates antigen-specific IgG, IgG1, and IgG2a antibody responses."
PMC11315725,VSA-2,"Potentiates antigen-specific IgG, IgG1, and IgG2a antibody responses."
PMC11359700,Alum,Creates depots for slow antigen release.
PMC11359700,MPLA,Activates TLR4 pathway to promote Th1 responses.
PMC11359700,GM-CSF,"Promotes dendritic cell differentiation and maturation, improving peptide antigen presentation to T cells, and stimulating pro-inflammatory cytokine secretion."
PMC11359700,CpG ODNs,"Activates dendritic cells and other antigen-presenting cells, leading to the upregulation of costimulatory molecules and pro-inflammatory cytokine secretion."
PMC11359700,TLR2/6 agonists,"Efficiently taken up by CD1a(+) and CD14(+) dermal DCs, resulting in a higher induction of CD8(+) T-cell responses."
PMC11392011,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC11430029,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC11430029,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC11437400,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC11532300,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC11598945,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC11598945,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC11680411,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC11680411,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC11792077,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC11792077,Alum,Robust inducers of anti-heroin antibody titers
PMC11861685,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC11934161,Aluminum hydroxide,Enhances the immune response
PMC12031513,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC12093340,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC12093340,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC12094284,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC12123219,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC12133506,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC12197412,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC4922024,Alum,"Forms antigen depots at the injection site, from where antigen is gradually released to allow prolonged interaction of the antigen with the immune cells and therefore causing the induction of sustained antigen-specific B- and T-cell responses."
PMC4922024,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC4922024,QS-21,Activates NLRP3 inflammasome to induce IL-1β and IL-18 production.
PMC4929720,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC4929720,QS21,Engages TLR4 pathway to promote Th1 responses.
PMC4931635,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC4931635,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC4931635,DOPE,Enhances efficacy of vaccine delivery by endosomal escape through membrane disruption and fusion processes
PMC4931635,TPP,Accesses mitochondria through a driving force caused by the Δψm gradient
PMC5085676,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC5085676,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC5192354,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC5192354,PLGA,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC5215580,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC5215580,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC5340775,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC5408242,Chitosan,"Induces immune activity via NLRP3 inflammasome and promotes IL-1β secretion, and also induces mitochondrial DNA-mediated cGAS-STING pathway activation, resulting in the secretion of IFN type I, which stimulates the maturation of dendritic cells and leads to antigen presentation, followed by a Th1 immune response."
PMC5467010,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC5467010,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC5467010,α-GalCer,"Stimulates iNKT cells to promote B cell hypermutation, class-switching and immunological memory."
PMC5467010,ZPSs,"Presented on MHCII complexes, leading to T cell activation and adaptive immune responses."
PMC5646730,Alum,The text does not explicitly describe how Alum works to stimulate or enhance the immune response.
PMC5646730,MPLA,The text does not explicitly describe how MPLA works to stimulate or enhance the immune response.
PMC5711983,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC5806658,BCG,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC5871672,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC5893894,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC5893894,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC5985299,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC5985299,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC6060342,dmLT,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6060342,LT(R192G/L211A),Engages TLR4 pathway to promote Th1 responses.
PMC6105696,Alum,"Induces IL-4-secreting Th2 cells, which can block the differentiation of pathogenic IFNγ-producing Teff."
PMC6222055,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6222055,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC6274812,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6356514,Alum,"Recruits immune cells and increases antigen uptake, although it does not stimulate a CD8+ T cell response."
PMC6357101,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6357101,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC6436086,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6436086,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC6466432,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6466432,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC6476043,Alum,"Alum alone cannot induce a potent Th1 response unless combined with another adjuvant, such as glucopyranosyl lipid A (a synthetic TLR-4 agonist)."
PMC6476043,MF59,MF59 can elicit antigen-specific antibodies and cellular-mediated responses.
PMC6669641,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6678067,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC6678067,TDB,Activates MINCLE and enhances Th1/Th17 responses.
PMC6678067,Curdlan,Enhances Th1 responses to vaccines.
PMC6678067,Advax,"Induces activation of CD4 + T cells and enhances antigen-specific B cell activation, BCR affinity maturation, IgG switching and production of high avidity Ab."
PMC6685390,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6724148,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6724148,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC6724148,QS-21,Proposed to be via rapid interferon (IFN)-γ production by resident natural killer (NK) cells and CD8+ T cells in the draining lymph nodes promoting strong cellular Th1 responses.
PMC6724148,DDA,"Activates the C-type lectin receptor, Mincle, inducing intracellular signaling via Syk, causing CARD9 dependent NF-κB activation and downstream proinflammatory cytokine production."
PMC6724148,ODN1a,"Thinks to bind TLR9, thereby activating the MyD88 pathway and IL-12 production by APCs."
PMC6789792,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6789792,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC6789792,MF59,"Induces controlled inflammation and recruitment of antigen-presenting cells that stimulate vaccine-specific CD4+T cells, leading to the induction of specific antibodies targeting broader neutralizing epitopes."
PMC6789792,AS03,Induces stronger transcriptional responses through the NFkB pathway leading to higher expression of immune cell-recruiting chemokines and pro-inflammatory cytokines.
PMC6789792,AS04,Induces stronger transcriptional responses through the NFkB pathway leading to higher expression of immune cell-recruiting chemokines and pro-inflammatory cytokines.
PMC6831456,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6831456,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC6831456,CpG ODNs,Stimulate TLR9 pathway to induce strong immune response.
PMC6831456,LPS,Engage TLR4 pathway to stimulate innate immune response.
PMC6831456,Poly I:C,Activate TLR3 pathway to induce strong immune response.
PMC6831456,Layered double hydroxide (LDH),Stimulate TLR9 pathway to induce strong immune response.
PMC6831456,Indoximod (IND),"Inhibit indoleamine 2,3-dioxygenase (IDO) pathway to enhance immune response."
PMC6923730,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6923730,Cholera toxin (CT),"Increases the permeability of the mucosal epithelium, enhanced antigen presentation, the consequent promotion of dendritic cell maturation, increased IgA response, and finally, the generation of complex stimulatory and inhibitory effects on T cell proliferation and cytokine production such as IL-4, IL-5, IL-6, and IL-10 that skew the response toward a Th2-type."
PMC6923730,Heat-labile enterotoxin of E. coli (LT),"Promotes maturation of dendritic cells, antigen-specific IL-17 positive cells, and production of IL-1α, IL-1β, and IL-23 by dendritic cells."
PMC6923730,Lipooligosaccharide (LOS),"Induces IL-12 and 1L-1β that promote Th1 and Th17 responses, respectively."
PMC6943637,CpG DNA,Engages TLR9 pathway to promote Th1 responses.
PMC6963306,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC6963306,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7058986,Alum,"Induces the production of IL-1, which itself induces trained immunity"
PMC7150928,MCT,Vaccine formulations containing VLPs increased antibody production against TRAP compared to that produced by the antigen alone.
PMC7150928,CpG,"Vaccine adjuvanted with MCT effectively retarded the development of the tumor. The effect was comparable when CpG DNA was used as the adjuvant, whereas alum was ineffective in slowing down tumor growth."
PMC7150928,Alum,"Vaccine adjuvanted with MCT effectively retarded the development of the tumor. The effect was comparable when CpG DNA was used as the adjuvant, whereas alum was ineffective in slowing down tumor growth."
PMC7157724,Alum,"Activates NLRP3 inflammasomes or induces apoptosis, resulting in the release of dangerous signals, which in turn triggers immune response"
PMC7157724,MPL,Engages TLR4 pathway to promote Th1 responses
PMC7157724,QS-21,"QS21 stimulates caspase-1, causing the release of high-mobility group protein B1 (HMGB1), and then activates the TLR4-MyD88 pathway"
PMC7203076,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7203076,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7265684,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7265684,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7349526,Curdlan,"binds to dendritic cells through the ligand Dectin-1, leading to a nuclear factor κB-mediated TH17 immune response."
PMC7349596,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7349596,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7349596,QS-21,"Part of the AS01 adjuvant system, which is a liposome adjuvant containing MPL and QS-21."
PMC7349596,MF59,"Creates a transient immune environment at the injection site, then recruits immune cells to induce antigen-specific immune responses."
PMC7349596,AS01,"Contains 3-O-desacyl-4’-monophosphoryl lipid A (MPL) and saponin QS-21, part of the AS01 adjuvant system."
PMC7349596,AS02,"Contains MPL and QS-21, part of the AS02 adjuvant system."
PMC7349596,AS03,"Contains alpha-tocopherol, squalene, and Tween 80, part of the AS03 adjuvant system."
PMC7349596,AS04,"Contains MPL, part of the AS04 adjuvant system."
PMC7350342,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7405756,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7405756,MPL,Engages TLR4 pathway to promote Th1 responses.
PMC7409282,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7431966,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7466534,Matrix-M,"Potent inducer of leukocyte migration into the draining lymph nodes (LN) resulting in the increase in T-, B-, NK, and dendritic cells in draining LNs."
PMC7511675,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7511675,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7563765,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7563765,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7563944,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7563944,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7563944,Cholera toxin B,Drives a more restricted Th2 response.
PMC7589362,AS03,Recruits immune cells to the site of vaccination
PMC7589362,Montanide ISA 51VG,Increases IgG titers 50-fold against the M-001 protein
PMC7589362,VAX125,"Binds and activates cellular host pathways, leading to increased immune activation"
PMC7589362,Double-stranded RNA (dsRNA),Activates inflammatory pathways
PMC7688745,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7688745,MPL (Monophosphoryl-lipid A),Engages TLR4 pathway to promote Th1 responses.
PMC7688745,Microcrystalline Tyrosine (MCT),"Biodegradable, maintains depot formation for sustained immune response."
PMC7688745,"TLR2/1 agonists (e.g., Pam3Cys, Pam3CSK4)","Downregulates Th2 responses, induces IFN-γ and IL-10 production, promotes Th1 responses."
PMC7688745,MALP-2 (Macrophage-activating lipopeptide of 2 kDa),"Targets TLR2/6 receptor, downregulates Th2 responses, induces IFN-γ and IL-10 production."
PMC7688745,Flagellin,"Fusion proteins with allergens can reduce Th2 responses, promote IFN-γ and IL-10 production, and induce tolerance."
PMC7688745,CpG-ODN (Cytosine-phosphate-guanine oligodeoxynucleotides),"Induces Th1 responses, downregulates Th2 responses, promotes IFN-γ and IL-10 production, and induces tolerance."
PMC7688745,"TLR9 agonists (e.g., CpG-ODN1826)","Induces Th1 responses, downregulates Th2 responses, promotes IFN-γ and IL-10 production, and induces tolerance."
PMC7712070,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7712070,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7831080,Alum,Primarily generates a Th2 response.
PMC7831080,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7837099,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7837099,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7858666,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7858666,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7858666,QS-21,Enhances polyfunctional T cell responses.
PMC7858666,MPL,Enhances polyfunctional T cell responses.
PMC7858666,3M-052/SE,Overcomes hyporesponsiveness to the pneumococcal conjugate vaccine at birth.
PMC7858666,AS01,Enhances polyfunctional T cell responses.
PMC7858666,CAF01,Enhances germinal center responses.
PMC7858666,CpG-1826 and IC31,Induces TFH responses in neonatal mice.
PMC7858666,GLA-squalene emulsion (SE),Induces TFH responses in neonatal mice.
PMC7879001,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7879001,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7883962,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7883962,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7911620,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7911620,CpG 1018,"Recruits MyD88, IL-1R associated kinase (IRAK) and TNF receptor-associated factor 6 (TRAF6) to activate several mitogen-activated kinases and transcription factors, resulting in transcription and secretion of proinflammatory chemokines and cytokines."
PMC7911620,Poly-ICLC,"Induces TLR3 activation, leading to the induction of cytokines such as IFN-α, TNF-α and IL-12."
PMC7911620,MGN1703,"Activates the TLR9 signalling pathway, leading to the induction of cytokines such as IFN-α, IFN-γ, TNF-α and IL-6."
PMC7918810,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC7918810,AddaVax,MF59-like adjuvant
PMC7930017,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7930017,Aluminum hydroxide,Elicits strong Th1 or Th17 cell-mediated responses
PMC7930017,CpG oligodeoxynucleotides,Elicits strong immune responses
PMC7959455,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC7959455,AlhydrogelTM,Reduces antigen dose by 75% while retaining equivalent magnitudes of responses
PMC7959455,BECC/Alhydrogel,Reduces antigen dose by 75% while retaining equivalent magnitudes of responses
PMC8001307,Alum,Primarily enhances Th2 humoral responses
PMC8001307,AS04,Combination of alum and monophosphoryl lipid A (MPLA)
PMC8001307,MPLA,Engages TLR4 pathway to promote Th1 responses
PMC8001307,QS-21,"Interacts with specific molecular targets, including dendritic cells and T cells"
PMC8001307,QS-7,Potentiates a balanced Th1/Th2 response with antigen-specific cytotoxic T lymphocyte (CTL) production
PMC8001307,QS-17,Has adjuvant activity similar to QS-21 but lower toxicity
PMC8001307,QS-18,More toxic than QS-21 due to extra β-d-glucopyranosyl (glc) unit connected to the α-L-rhamnopyranosyl (rha) unit at its 3-O position
PMC8001307,QS-7/18,Have similar adjuvant activity profile but QS-17 and QS-18 are more toxic than QS-21
PMC8001307,GPI-0100,Retains the capacity of stimulating humoral and cellular immunity
PMC8001307,VSA-1,Similar to QS-21 in potentiating a mixed Th1/Th2 immunity and CTL production
PMC8001307,VSA-2,Shows a consistently higher IgG2a/IgG1 ratio than QS-21 and GPI-0100
PMC8002393,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8002393,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8007559,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8007559,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8033039,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8033039,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8033039,MPL,Engages TLR4 pathway to promote Th1 responses.
PMC8033039,"1,25-dihydroxyvitamin D3 (VD3)",Suppresses immune responses and promotes tolerogenic effects.
PMC8033039,CpG,Stimulates TLR9 pathway to promote Th1 responses.
PMC8064354,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8064354,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8127526,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8127526,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8148096,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8148096,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8185206,Alum,"Contributes to an immune danger signal via the induction of phagocytic cell death, enhancing antigen uptake and presentation by professional APCs, and upregulating costimulatory surface molecules expression."
PMC8210608,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8210608,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8210608,R848,"Agonist of TLR7/8, transforms MDSCs into APCs and polarizes TAMs from M2 to M1."
PMC8210608,CpG,"Agonist of TLR9, induces antitumor immune responses."
PMC8225176,Alum,"Stimulates Th2-biased responses through mechanisms including the depot effect, NLRF3 inflammation activation, stimulation and differentiation of CD4+ T cells, perturbation of dendritic cell membrane, and complement activation."
PMC8225176,MF59,Significantly enhances antigen-specific antibody production and boosts both Th1 and Th2-biased responses.
PMC8225176,AS03,"Induces the production of inflammatory cytokines and chemokines in injected muscles and draining lymph nodes, enhances migration of monocytes and dendritic cells into draining lymph nodes, and persists production of neutralizing antibodies and a high frequency of memory B cells."
PMC8225681,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8225681,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8227888,Alhydrogel,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8227888,MPL,Engages TLR4 pathway to promote Th1 responses.
PMC8228432,AS01,Activates TLR4 pathway to promote Th1 responses.
PMC8228432,AS03,Activates TLR4 pathway to promote Th1 responses.
PMC8228432,Alum,Forms a depot for slow antigen release and activates NLRP3 inflammasome.
PMC8228432,GLA,Enhances granzyme B and IL-6 production in PBMCs from adults >60 years old in response to influenza antigen.
PMC8228432,QS-21,Activates TLR4 pathway to promote Th1 responses.
PMC8230341,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8293096,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8293096,TLR9,Acts on dendritic cells and B cells to enhance GC response
PMC8293096,PorB,Enhances antigen deposition on FDCs
PMC8310046,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8310046,MF59,Increases recruitment and maturation of DCs
PMC8310376,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8310376,Aluminum hydroxide,No immune response mechanism described
PMC8310376,MPLA,No immune response mechanism described
PMC8364403,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8364403,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8400983,Alum,Stimulate the immune response by activating NLRP3 inflammasome and forming a depot for slow antigen release.
PMC8400983,CAP,Stimulate the immune response by inducing effective mucosal immunity.
PMC8400983,TiO2,Inhibit virus adsorption and entry by binding to the surface of the virus and occupying the binding site of the virus and the cell.
PMC8402453,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8402453,c-di-GMP,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8402453,c-di-AMP,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8402453,cGAMP,Directly binds to STING to induce the production of type I IFN and inflammatory cytokines.
PMC8427162,LPS-Rhodobacter sphaeroides,Inhibits NS1-mediated cytokine release
PMC8427162,Lipopolysaccharide (LPS),Activates TLR4 pathway to promote Th1 responses
PMC8427162,Poly (I:C) + poly U,Activates TLR3 and TLR7 pathways
PMC8553742,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8553742,Alum,Forms a depot for slow antigen release.
PMC8553742,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8553742,CpG,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8553742,CpG,Forms a depot for slow antigen release.
PMC8553742,CpG,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8553742,AS03,Promotes Th1 responses.
PMC8553742,AS03,Engages TLR4 pathway to promote Th1 responses.
PMC8553742,AS0378,Enhances humoral and cellular immune responses.
PMC8553742,HBV nucleocapsid,No mechanism described.
PMC8553742,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8589429,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8664555,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8664555,MPLA,Engages TLR4 pathway to promote Th1 responses.
