adjuvant,immune_response_mechanism
Alum,"Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10769466] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6669641] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9857197] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC5985299] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10048722] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9962240] | IMM-AD04 alum reduces rate of cognitive decline [PMC10977380] | Forms a depot for slow antigen release and activates NLRP3 inflammasome. [PMC8228432] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9863224] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8553742] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8210608] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9506058] | The text does not explicitly describe how Alum works to stimulate or enhance the immune response. [PMC5646730] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9530253] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7930017] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6685390] | Toll-like receptor agonist complexed with aluminum [PMC9979891] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6222055] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8148096] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6357101] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC5340775] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7879001] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9998285] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6274812] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10295010] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC12093340] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC11221474] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7712070] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10185832] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC5467010] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC4929720] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9321285] | Induces the production of IL-1, which itself induces trained immunity [PMC7058986] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8033039] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9788085] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC12133506] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8230341] | Induces IL-4-secreting Th2 cells, which can block the differentiation of pathogenic IFNγ-producing Teff. [PMC6105696] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC12123219] | Contributes to an immune danger signal via the induction of phagocytic cell death, enhancing antigen uptake and presentation by professional APCs, and upregulating costimulatory surface molecules expression. [PMC8185206] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC4931635] | Recruits immune cells and increases antigen uptake, although it does not stimulate a CD8+ T cell response. [PMC6356514] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8225681] | Robust inducers of anti-heroin antibody titers [PMC11792077] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7409282] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7688745] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8778544] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10113164] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8127526] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC5893894] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8664555] | Induces immune response and stimulates antibody production [PMC10059828] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC12031513] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8002393] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC5871672] | Primarily enhances Th2 humoral responses [PMC8001307] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC5085676] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8695322] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8974753] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7349596] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9964829] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10760363] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7265684] | Forms a depot for slow antigen release. [PMC8553742] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC11598945] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10899802] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6831456] | Forms antigen depots at the injection site, from where antigen is gradually released to allow prolonged interaction of the antigen with the immune cells and therefore causing the induction of sustained antigen-specific B- and T-cell responses. [PMC4922024] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC11861685] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9017465] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6724148] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC5711983] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC12197412] | Stimulate the immune response by activating NLRP3 inflammasome and forming a depot for slow antigen release. [PMC8400983] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8691362] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7563765] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC11242184] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10776678] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7959455] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7405756] | Activates NLRP3 inflammasomes or induces apoptosis, resulting in the release of dangerous signals, which in turn triggers immune response [PMC7157724] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6466432] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC11680411] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6923730] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8310376] | Alum alone cannot induce a potent Th1 response unless combined with another adjuvant, such as glucopyranosyl lipid A (a synthetic TLR-4 agonist). [PMC6476043] | Stimulates Th2-biased responses through mechanisms including the depot effect, NLRF3 inflammation activation, stimulation and differentiation of CD4+ T cells, perturbation of dendritic cell membrane, and complement activation. [PMC8225176] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8364403] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7431966] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10504489] | Promotes Th2-type immunity and B cell differentiation, leading to tremendous antibody production [PMC9935699] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10385070] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9228553] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7883962] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9124800] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7350342] | Creates depots for slow antigen release. [PMC11359700] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6963306] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8853290] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7858666] | Primarily generates a Th2 response. [PMC7831080] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7203076] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8007559] | Induces endogenous DAMPs, including DNA-based TNAs, that activate nucleic acid sensing pathways. [PMC9927404] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7563944] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC11430029] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7511675] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC7837099] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9405528] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6436086] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6789792] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10303573] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8064354] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9737588] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC5215580] | Vaccine adjuvanted with MCT effectively retarded the development of the tumor. The effect was comparable when CpG DNA was used as the adjuvant, whereas alum was ineffective in slowing down tumor growth. [PMC7150928]"
Alum-CpG,Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC11155708]
Aluminum hydroxide,Enhances the immune response [PMC11934161] | Elicits strong Th1 or Th17 cell-mediated responses [PMC7930017] | No immune response mechanism described [PMC8310376]
Aluminum salt,Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9737588]
AS01,"Activates TLR4 pathway to promote Th1 responses. [PMC8228432] | Contains 3-O-desacyl-4’-monophosphoryl lipid A (MPL) and saponin QS-21, part of the AS01 adjuvant system. [PMC7349596] | Enhances polyfunctional T cell responses. [PMC7858666]"
AS02,"Contains MPL and QS-21, part of the AS02 adjuvant system. [PMC7349596]"
AS03,"α-tocopherol, squalene and polysorbate 80 in an oil-in-water emulsion [PMC9979891] | Engages TLR4 pathway to promote Th1 responses. [PMC8553742] | Recruits immune cells to the site of vaccination [PMC7589362] | Mediates a local inflammatory response and increases the trafficking of antigens to draining lymph nodes [PMC10385070] | Induces stronger transcriptional responses through the NFkB pathway leading to higher expression of immune cell-recruiting chemokines and pro-inflammatory cytokines. [PMC6789792] | Promotes Th1 responses. [PMC8553742] | Engages TLR4 pathway to promote Th1 responses. [PMC9017465] | Induces the production of inflammatory cytokines and chemokines in injected muscles and draining lymph nodes, enhances migration of monocytes and dendritic cells into draining lymph nodes, and persists production of neutralizing antibodies and a high frequency of memory B cells. [PMC8225176] | Activates TLR4 pathway to promote Th1 responses. [PMC8228432] | Contains alpha-tocopherol, squalene, and Tween 80, part of the AS03 adjuvant system. [PMC7349596]"
AS0378,Enhances humoral and cellular immune responses. [PMC8553742]
AS04,"Upregulates potent humoral (Th2) and cellular (Th1) immune responses [PMC9935699] | Contains MPL, part of the AS04 adjuvant system. [PMC7349596] | Induces stronger transcriptional responses through the NFkB pathway leading to higher expression of immune cell-recruiting chemokines and pro-inflammatory cytokines. [PMC6789792] | Combination of alum and monophosphoryl lipid A (MPLA) [PMC8001307]"
AS15,"Induces both humoral and cellular immune responses, and agonist of TLR3 and MDA5. [PMC9927404]"
ATP,Triggers immunological response [PMC10383774]
Azoximer bromide,"Activates melanoma differentiation-associated protein 5 (MDA5) gene expression via effects on toll-like receptor 4 (TLR 4) gene, and direct binding to cellular components of the blood. [PMC9493399]"
BCG,Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC5806658]
BECC/Alhydrogel,Reduces antigen dose by 75% while retaining equivalent magnitudes of responses [PMC7959455]
c-di-AMP,Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8402453]
c-di-GMP,Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8402453]
CAF01,Enhances germinal center responses. [PMC7858666]
CAP,Stimulate the immune response by inducing effective mucosal immunity. [PMC8400983]
CBP-12,Elicits both strong cytotoxic CD8+ T cell and antibody responses [PMC9935699]
cGAMP,Directly binds to STING to induce the production of type I IFN and inflammatory cytokines. [PMC8402453]
Chitosan,"Enhances antigen uptake and induces macrophages to secrete inflammatory factors regulating Th1/Th2 balance and tailoring a specific immune response [PMC10459455] | Induces the production of cytokines (e.g., TNF-α, IL-1β, IFN-γ, and IL-10) which become a great indicator in the initiation of humoral immunity [PMC10048722] | Induces immune activity via NLRP3 inflammasome and promotes IL-1β secretion, and also induces mitochondrial DNA-mediated cGAS-STING pathway activation, resulting in the secretion of IFN type I, which stimulates the maturation of dendritic cells and leads to antigen presentation, followed by a Th1 immune response. [PMC5408242]"
Cholera toxin (CT),"Increases the permeability of the mucosal epithelium, enhanced antigen presentation, the consequent promotion of dendritic cell maturation, increased IgA response, and finally, the generation of complex stimulatory and inhibitory effects on T cell proliferation and cytokine production such as IL-4, IL-5, IL-6, and IL-10 that skew the response toward a Th2-type. [PMC6923730] | Co-administered with food proteins through the GI tract to induce sensitization. [PMC8974753]"
Cholera toxin B,Drives a more restricted Th2 response. [PMC7563944]
CpG,"Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8553742] | Induces IFN-γ responses from peanut-specific T cells and increases peanut-specific IgG2a. [PMC8974753] | Forms a depot for slow antigen release. [PMC8553742] | Stimulates TLR9 pathway to promote Th1 responses. [PMC8033039] | Agonist of TLR9, induces antitumor immune responses. [PMC8210608] | TLR9 agonist, stimulates innate immune responses and promotes Th1 responses. [PMC9405528] | Engages TLR4 pathway to promote Th1 responses. [PMC9228553] | Toll-like receptor agonist complexed with aluminum [PMC9979891] | Vaccine adjuvanted with MCT effectively retarded the development of the tumor. The effect was comparable when CpG DNA was used as the adjuvant, whereas alum was ineffective in slowing down tumor growth. [PMC7150928]"
"CpG 1,018","Induces seroprotective titers in all participants with HIV without prior HBV vaccination. [PMC10764465] | Stimulates innate immunity through TLR9, strongly favors development of the Th1 subset of helper T cells. [PMC10764465]"
"CpG 10,101",Dose-dependently increase immune marker activation while simultaneously decreasing HCV RNA levels. [PMC10764465]
CpG 1018,"Engages TLR4 pathway to promote Th1 responses. [PMC9017465] | Agonist of Toll-like receptors (TLRs) and helps to shape the immune response towards a Th1-type quality [PMC10385070] | Engages TLR4 pathway to promote Th1 responses [PMC9998285] | Recruits MyD88, IL-1R associated kinase (IRAK) and TNF receptor-associated factor 6 (TRAF6) to activate several mitogen-activated kinases and transcription factors, resulting in transcription and secretion of proinflammatory chemokines and cytokines. [PMC7911620]"
CpG DNA,Engages TLR9 pathway to promote Th1 responses. [PMC6943637]
CpG ODN,"Recognized by TLR9, promoting antigen-specific adaptive immune responses against infectious diseases and cancer. [PMC9325128] | Augments CD8+ T-cell responses and induces both cellular and humoral immune responses. [PMC9271922] | Toll-like receptor agonist, specifically recognized by Toll-like receptors 9 [PMC9857197]"
CpG ODNs,"Activates dendritic cells and other antigen-presenting cells, leading to the upregulation of costimulatory molecules and pro-inflammatory cytokine secretion. [PMC11359700] | Stimulate TLR9 pathway to induce strong immune response. [PMC6831456]"
CpG oligodeoxynucleotides,"Elicits strong immune responses [PMC7930017] | TLR9 agonist, stimulates innate immune responses and promotes Th1 responses. [PMC9405528] | Enhances cellular immunity [PMC10383774]"
CpG oligonucleotides,Activates Toll-like receptor 9 (TLR9) and promotes Th1 responses. [PMC9788085]
CpG-1826 and IC31,Induces TFH responses in neonatal mice. [PMC7858666]
CpG-ODN (Cytosine-phosphate-guanine oligodeoxynucleotides),"Induces Th1 responses, downregulates Th2 responses, promotes IFN-γ and IL-10 production, and induces tolerance. [PMC7688745]"
Curdlan,"binds to dendritic cells through the ligand Dectin-1, leading to a nuclear factor κB-mediated TH17 immune response. [PMC7349526] | Enhances Th1 responses to vaccines. [PMC6678067]"
DDA,"Activates the C-type lectin receptor, Mincle, inducing intracellular signaling via Syk, causing CARD9 dependent NF-κB activation and downstream proinflammatory cytokine production. [PMC6724148]"
Di-ABZI,"Elicits comparable binding affinity with human STING but higher potency in STING activation relative to cGAMP, significant and durable tumor regression in CT-26 tumor-bearing mice. [PMC9325128]"
Dimethyloxoxanthenyl acetic acid (DMXAA),"Induces the activation of NK cells and tumor-associated macrophages, leading to necrosis in tumors. [PMC9325128]"
dmLT,Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC6060342]
DOPE,Enhances efficacy of vaccine delivery by endosomal escape through membrane disruption and fusion processes [PMC4931635]
Double-stranded RNA (dsRNA),Activates inflammatory pathways [PMC7589362]
Flagellin,"Fusion proteins with allergens can reduce Th2 responses, promote IFN-γ and IL-10 production, and induce tolerance. [PMC7688745] | Co-administered with peanut to induce allergy. [PMC8974753]"
GLA,Enhances granzyme B and IL-6 production in PBMCs from adults >60 years old in response to influenza antigen. [PMC8228432]
GLA-squalene emulsion (SE),Induces TFH responses in neonatal mice. [PMC7858666]
GM-CSF,"Promotes dendritic cell differentiation and maturation, improving peptide antigen presentation to T cells, and stimulating pro-inflammatory cytokine secretion. [PMC11359700] | Enhances the immune response [PMC10383774]"
GPI-0100,Retains the capacity of stimulating humoral and cellular immunity [PMC8001307]
HBV nucleocapsid,No mechanism described. [PMC8553742]
Heat-labile enterotoxin of E. coli (LT),"Promotes maturation of dendritic cells, antigen-specific IL-17 positive cells, and production of IL-1α, IL-1β, and IL-23 by dendritic cells. [PMC6923730]"
HSP90,"Acts as a molecular chaperone, facilitating protein folding, stabilization, and activation of a wide range of client proteins, and modulates cellular functions such as cytokine secretion, cell maturation, and antigen presentation. [PMC11125637]"
IC31,"Works as a carrier to translocate ODN1a into the cell without cell membrane permeabilisation, and ODN1a acts as an agonist on the TLR9 receptor, that is normally activated by bacterial DNA. [PMC9857197]"
Imidazoquinolines,"Induces the production of cytokines including interferon-α, tumor necrosis factor-α, and interleukin-1 via TLR7-MyD88-dependent pathway. [PMC9325128]"
Indoximod (IND),"Inhibit indoleamine 2,3-dioxygenase (IDO) pathway to enhance immune response. [PMC6831456]"
K3 CpG + cGAMP,"Induces both humoral and cellular immune responses, and agonist of TLR3 and MDA5. [PMC9927404]"
Layered double hydroxide (LDH),Stimulate TLR9 pathway to induce strong immune response. [PMC6831456]
Lipooligosaccharide (LOS),"Induces IL-12 and 1L-1β that promote Th1 and Th17 responses, respectively. [PMC6923730]"
Lipopolysaccharide (LPS),Activates TLR4 pathway to promote Th1 responses [PMC8427162]
LPS,Co-administered with peanut to induce allergy and is dependent on MyD88. [PMC8974753] | Engage TLR4 pathway to stimulate innate immune response. [PMC6831456]
LPS-Rhodobacter sphaeroides,Inhibits NS1-mediated cytokine release [PMC8427162]
LT(R192G/L211A),Engages TLR4 pathway to promote Th1 responses. [PMC6060342]
MALP-2 (Macrophage-activating lipopeptide of 2 kDa),"Targets TLR2/6 receptor, downregulates Th2 responses, induces IFN-γ and IL-10 production. [PMC7688745]"
Matrix M,Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC9017465]
Matrix-M,"Potent inducer of leukocyte migration into the draining lymph nodes (LN) resulting in the increase in T-, B-, NK, and dendritic cells in draining LNs. [PMC7466534] | Pleiotropic modes of action, which tend to augment humoral and cellular immune responses [PMC10385070]"
MCT,Vaccine formulations containing VLPs increased antibody production against TRAP compared to that produced by the antigen alone. [PMC7150928]
Methylnaltrexone (MNTX),Peripheral antagonist of opioid receptors; transient blockade of opioid receptors; promotes the release of endogenous opioid peptides through compensatory up-regulation of the OGF–OGFr axis; selective inhibition of growth and proliferation of cancer cells. [PMC10968813]
MF59,"MF59 can elicit antigen-specific antibodies and cellular-mediated responses. [PMC6476043] | Mediates a local inflammatory response and increases the trafficking of antigens to draining lymph nodes [PMC10385070] | Used as adjuvant with HSV-2 glycoproteins B and D (gB2/gD2) [PMC8695322] | Increases recruitment and maturation of DCs [PMC8310046] | Creates a transient immune environment at the injection site, then recruits immune cells to induce antigen-specific immune responses. [PMC7349596] | Significantly enhances antigen-specific antibody production and boosts both Th1 and Th2-biased responses. [PMC8225176] | Selectively skew antibody effector function both through selective isotype/subclass selection and altered Fc-glycosylation. [PMC10790774] | Facilitates cytosolic or vacuole pathways of cross-presentation [PMC9935699] | Induces controlled inflammation and recruitment of antigen-presenting cells that stimulate vaccine-specific CD4+T cells, leading to the induction of specific antibodies targeting broader neutralizing epitopes. [PMC6789792]"
MGN1703,"Activates the TLR9 signalling pathway, leading to the induction of cytokines such as IFN-α, IFN-γ, TNF-α and IL-6. [PMC7911620]"
mHSP110,Enhances immune response [PMC10383774]
Microcrystalline Tyrosine (MCT),"Biodegradable, maintains depot formation for sustained immune response. [PMC7688745]"
Montanide ISA 51VG,Increases IgG titers 50-fold against the M-001 protein [PMC7589362]
MPL,Enhances polyfunctional T cell responses. [PMC7858666] | Engages TLR4 pathway to promote Th1 responses. [PMC8227888] | Engages TLR4 pathway to promote Th1 responses [PMC7157724] | Engages TLR4 pathway to promote Th1 responses [PMC8695322] | Engages TLR4 pathway to promote Th1 responses. [PMC10385070] | Engages TLR4 pathway to promote Th1 responses. [PMC11315725] | Engages TLR4 pathway to promote Th1 responses. [PMC8033039] | Engages TLR4 pathway to promote Th1 responses. [PMC7405756]
MPL (3‐O‐desacyl‐4′‐monophosphoryl lipid A),Engages TLR4 pathway to promote Th1 responses. [PMC10067403]
MPL (Monophosphoryl-lipid A),Engages TLR4 pathway to promote Th1 responses. [PMC7688745]
MPLA,Engages TLR4 pathway to promote Th1 responses. [PMC12093340] | Engages TLR4 pathway to promote Th1 responses. [PMC11392011] | Engages TLR4 pathway to promote Th1 responses. [PMC7911620] | Engages TLR4 pathway to promote Th1 responses. [PMC11155708] | Improves seroresponse. [PMC10764465] | Engages TLR4 pathway to promote Th1 responses. [PMC7879001] | Engages TLR4 pathway to promote Th1 responses. [PMC11430029] | Engages TLR4 pathway to promote Th1 responses. [PMC10760363] | Engages TLR4 pathway to promote Th1 responses. [PMC9964829] | Engages TLR4 pathway to promote Th1 responses. [PMC5215580] | Engages TLR4 pathway to promote Th1 responses. [PMC7918810] | Engages TLR4 pathway to promote Th1 responses. [PMC9325128] | Engages TLR4 pathway to promote Th1 responses. [PMC8064354] | Engages TLR4 pathway to promote Th1 responses. [PMC7831080] | Engages TLR4 pathway to promote Th1 responses. [PMC8033039] | Engages TLR4 pathway to promote Th1 responses. [PMC9405528] | Engages TLR4 pathway to promote Th1 responses. [PMC6222055] | Engages TLR4 pathway to promote Th1 responses. [PMC7265684] | Engages TLR4 pathway to promote Th1 responses. [PMC6357101] | Activates TLR4 pathway to promote Th1 responses. [PMC11359700] | Engages TLR4 pathway to promote Th1 responses. [PMC10048722] | Engages TLR4 pathway to promote Th1 responses. [PMC5467010] | Engages TLR4 pathway to promote Th1 responses. [PMC5893894] | Engages TLR4 pathway to promote Th1 responses. [PMC7563944] | Engages TLR4 pathway to promote Th1 responses. [PMC8553742] | Engages TLR4 pathway to promote Th1 responses. [PMC6678067] | Engages TLR4 pathway to promote Th1 responses. [PMC6724148] | Engages TLR4 pathway to promote Th1 responses. [PMC4931635] | Engages TLR4 pathway to promote Th1 responses. [PMC8364403] | Engages TLR4 pathway to promote Th1 responses. [PMC8148096] | Engages TLR4 pathway to promote Th1 responses. [PMC8691362] | Engages TLR4 pathway to promote Th1 responses. [PMC10899802] | Engages TLR4 pathway to promote Th1 responses. [PMC7511675] | Engages TLR4 pathway to promote Th1 responses. [PMC9810991] | Engages TLR4 pathway to promote Th1 responses [PMC8001307] | Engages TLR4 pathway to promote Th1 responses. [PMC7883962] | Engages TLR4 pathway to promote Th1 responses. [PMC7203076] | Engages TLR4 pathway to promote Th1 responses. [PMC8310046] | Engages TLR4 pathway to promote Th1 responses. [PMC11680411] | Engages TLR4 pathway to promote Th1 responses. [PMC8664555] | Engages TLR4 pathway to promote Th1 responses. [PMC11437400] | Engages TLR4 pathway to promote Th1 responses. [PMC6831456] | Engages TLR4 pathway to promote Th1 responses. [PMC11221474] | Engages TLR4 pathway to promote Th1 responses. [PMC6436086] | Engages TLR4 pathway to promote Th1 responses. [PMC8293096] | No immune response mechanism described [PMC8310376] | Engages TLR4 pathway to promote Th1 responses. [PMC8225681] | Engages TLR4 pathway to promote Th1 responses. [PMC11792077] | Engages TLR4 pathway to promote Th1 responses. [PMC7858666] | Engages TLR4 pathway to promote Th1 responses [PMC9935699] | Engages TLR4 pathway to promote Th1 responses. [PMC6466432] | Engages TLR4 pathway to promote Th1 responses. [PMC9321285] | Engages TLR4 pathway to promote Th1 responses. [PMC8002393] | Engages TLR4 pathway to promote Th1 responses. [PMC5192354] | Engages TLR4 pathway to promote Th1 responses. [PMC6963306] | Engages TLR4 pathway to promote Th1 responses. [PMC8007559] | Engages TLR4 pathway to promote Th1 responses. [PMC9737588] | Engages TLR4 pathway to promote Th1 responses. [PMC9788085] | Engages TLR4 pathway to promote Th1 responses. [PMC11532300] | Engages TLR4 pathway to promote Th1 responses. [PMC10113164] | Engages TLR4 pathway to promote Th1 responses. [PMC7349596] | Engages TLR4 pathway to promote Th1 responses. [PMC8589429] | Engages TLR4 pathway to promote Th1 responses. [PMC12094284] | Engages TLR4 pathway to promote Th1 responses. [PMC10790774] | Engages TLR4 pathway to promote Th1 responses. [PMC5085676] | Engages TLR4 pathway to promote Th1 responses. [PMC7837099] | Engages TLR4 pathway to promote Th1 responses. [PMC8402453] | Engages TLR4 pathway to promote Th1 responses. [PMC9506058] | Engages TLR4 pathway to promote Th1 responses. [PMC8127526] | Engages TLR4 pathway to promote Th1 responses. [PMC7563765] | Engages TLR4 pathway to promote Th1 responses. [PMC5985299] | Engages TLR4 pathway to promote Th1 responses. [PMC11598945] | Engages TLR4 pathway to promote Th1 responses. [PMC8974753] | The text does not explicitly describe how MPLA works to stimulate or enhance the immune response. [PMC5646730] | Engages TLR4 pathway to promote Th1 responses. [PMC11242184] | Engages TLR4 pathway to promote Th1 responses. [PMC4922024] | Engages TLR4 pathway to promote Th1 responses. [PMC6789792] | Engages TLR4 pathway to promote Th1 responses. [PMC10769466] | Engages TLR4 pathway to promote Th1 responses. [PMC10764465] | Engages TLR4 pathway to promote Th1 responses. [PMC9271922] | Engages TLR4 pathway to promote Th1 responses. [PMC7712070] | Engages TLR4 pathway to promote Th1 responses. [PMC9857197] | Engages TLR4 pathway to promote Th1 responses. [PMC8210608]
Naltrexone (NTX),"Negates the effects of exogenous opioids through competitive binding with opioid receptors; exhibits strong affinity for µ-opioid receptors in the central nervous system; high affinity, but also partial agonistic activity towards κ receptors in the brain and spinal cord; minor affinity for δ receptors in the spinal cord and peripheral nervous system. [PMC10968813]"
ODN1a,"Thinks to bind TLR9, thereby activating the MyD88 pathway and IL-12 production by APCs. [PMC6724148]"
